㈜이글루코퍼레이션,경력 (3년이상),초대졸이상,,"Docker, JAVA, Kafka, kubernetes, MySQL, Python, Pytorch, Tensorflow, Spring Framework, RDB"
㈜넥슨,경력,학력무관,,
㈜마음에이아이,경력,학력무관,,
㈜마음에이아이,신입,학력무관,,
백금티앤에이,신입,대졸이상,,"C, C++, Python"
㈜제노레이,신입,대졸이상,,
디아이티㈜,경력,초대졸이상,,"C, C#, C++, MFC, VIsualC·C++"
메가존클라우드㈜,경력,학력무관,,"C, C++, JAVA, Javascript, Python, Pytorch, Swift, DL, 임베디드 소프트웨어, 임베디드 하드웨어"
현대오토에버㈜,경력,학력무관,,
㈜천재교과서,경력 (2년이상),대졸이상,,
㈜플래티어,경력,대학원(석사)이상 (졸업예정자 가능),,
현대오토에버㈜,경력 (3년이상),학력무관,,
현대오토에버㈜,경력 (3년이상),학력무관,,
현대오토에버㈜,경력 (3년이상),학력무관,,
현대오토에버㈜,경력 (3년이상),학력무관,,
현대오토에버㈜,경력 (5년이상),학력무관,,
더치트주식회사,경력,대졸이상,,
현대오토에버㈜,경력,학력무관,,"C, C++, MSSQL, SAP, DBMS, 컨설팅, SW, 솔루션"
㈜미디어엑셀코리아,경력,대졸이상,,"C, C++, Git, Python, Pytorch, Linux, CUDA, Scikit-Learn, FFmpeg"
㈜한화,경력,대졸이상,,
㈜한화,경력,대졸이상,,
엔에이치엔㈜,경력 (5년이상),학력무관,,
주식회사 위메이드,경력 (5년이상),학력무관,,
금호전기㈜,경력 (2년이상),초대졸이상,,
㈜엑스와이지,경력 (5년이상),대졸이상,,"Python, C/C++, COMPUTER VISION, Machine Learning, Image processing"
㈜마음에이아이,경력,학력무관,,
㈜컴투스,경력,학력무관,,
㈜컴투스,경력,대졸이상,,
엔에이치엔㈜,경력,대학원(석사)이상,,
중고나라,경력 (3년이상),대졸이상,"계획성, 꼼꼼함, 성실성","API, AWS, ElasticStack, Python, RDBMS, Spark, SQL"
㈜티맥스소프트,경력 (5년이상),대졸이상,,
한국생산기술연구원,경력,대졸이상 (졸업예정자 가능),"성실성, 윤리의식, 협동심, 성장지향성, 성취지향성, 계획성","C++, Git, Matlab, Python, Solidworks, 임베디드리눅스, AutoCAD, ROS, ROS2, Simulink"
원드롭,경력 (3년이상),고졸이상,,
㈜비바리퍼블리카,경력 (3년이상),학력무관,,"Python, SAS, SQL"
㈜이씨마이너,경력,대졸이상 (졸업예정자 가능),,"C, C++, JAVA"
㈜이씨마이너,신입,대졸이상 (졸업예정자 가능),,"C, C++, JAVA"
㈜이씨마이너,신입,대졸이상 (졸업예정자 가능),"성실성, 꼼꼼함, 협동심, 적응성, 창의성",
㈜넥슨,경력,학력무관,,
㈜넥슨,경력,학력무관,,
㈜넥슨,경력,학력무관,,
잡코리아(유),경력,대졸이상,,
㈜포비콘,경력 (3년이상),학력무관,,
제트서브,신입,대졸이상,"창의성, 협동심, 성장지향성, 성실성, 꼼꼼함, 자존감, 적응성","AWS, Django, Docker, Hadoop, MongoDB, PostgreSQL, Python, ELK"
㈜딥엑스,경력 (5년이상),대졸이상,,
㈜이음인터렉티브,신입,대졸이상,,"Django, Flutter, MongoDB, MySQL, Python, React, TypeScript, Jotai, Langchain"
스카이랩스,신입,대학원(석사)이상,,
루미르㈜,경력 (3년이상),대졸이상,"성실성, 성취지향성, 협동심, 성장지향성, 적응성","Python, Pytorch, Tensorflow, Scikit-Learn"
㈜엑스코어시스템,경력 (3년이상),학력무관,,"JAVA, Unix, Window, Linux, 클라우드, 정보보안, 인프라, 보안컨설팅, 데이터, it개발"
㈜씨지인사이드,경력 (3년이상),대졸이상,"꼼꼼함, 협동심, 계획성","API, AWS, GCP, PostgreSQL, Python, RestAPI, Vuex, Opensearch, Langchain, Qdrant"
뉴로핏㈜,경력 (2년이상),대졸이상 (졸업예정자 가능),,"Python, Pytorch"
뉴로핏㈜,신입,대졸이상,,"Docker, Flask, kubernetes, Matlab, Python, Pytorch, R, Tensorflow"
엑소시스템즈,경력 (1년이상),학력무관,,"C++, Matlab, Python"
퓨렌스㈜,경력,대졸이상 (졸업예정자 가능),,"Pytorch, Tensorflow"
㈜에프에스솔루션,경력 (3년이상),대졸이상,,
㈜시노펙스,경력 (2년이상),대학원(석사)이상,,
㈜딥노이드,경력,대학원(석사)이상,,
㈜클라이원트,경력,대졸이상,,"Python, NLP, LLM, RAG"
㈜아이엠에스나노텍,신입,대졸이상 (졸업예정자 가능),,"C++, VisualBasic, VIsualC·C++"
마크클라우드,신입,대졸이상,,Python
㈜아이알에스소프트코리아,경력,학력무관,,"JAVA, Keras, MariaDB, Pytorch, Tensorflow, 전자정부표준프레임워크"
라이트비전㈜,경력 (2년이상),대졸이상,,"C, C++, Python"
㈜엘로이랩,신입,학력무관,"꼼꼼함, 성장지향성, 성실성, 성취지향성",
㈜엘로이랩,신입,대학원(석사)이상,"꼼꼼함, 성장지향성, 성실성, 성취지향성",
씨이랩,경력,대졸이상,,
㈜퍼브,경력 (5년이상),초대졸이상,,"Git, Matlab, Pandas, Python, Pytorch, Scipy, Tensorflow, DL, Matplotlib, Numpy"
시큐어포인트,경력 (3년이상),대졸이상,,
휴먼교육센터,경력 (3년이상),대졸이상,,
텔레픽스,경력 (2년이상),대졸이상,,
메타빌드㈜,경력,대졸이상,,
데이터랩㈜,경력 (2년이상),대졸이상,"계획성, 창의성, 성장지향성, 협동심, 적응성",
㈜한국정보기술단,경력 (3년이상),대졸이상,,"MSSQL, MySQL, Python, R, SQL"
롯데이노베이트㈜,경력 (3년이상),대졸이상,,"JAVA, Javascript, Python, Spring, SQL"
투아이시스㈜,경력 (3년이상),학력무관,"성실성, 성취지향성, 창의성, 협동심, 성장지향성, 계획성, 메타인지, 꼼꼼함, 스트레스관리, 윤리의식, 자존감, 적응성","C#, C++, MariaDB, OpenCV, WPF, DBMS, MVVM, TCP/IP, HTTP, MQTT"
로이드케이,경력 (5년이상),대졸이상,"스트레스관리, 적응성, 성장지향성, 성실성, 꼼꼼함","JAVA, Kafka, Logstash, Python, SQL, Elasticsearch, Airflow, BigQuery, JSON, Kibana"
녹십자홀딩스,경력 (5년이상),대졸이상,,
씨와이오토텍(주),경력 (5년이상),초대졸이상,"창의성, 협동심, 계획성, 성실성, 성취지향성, 꼼꼼함",
㈜노르마,신입,대졸이상,,"Python, Pytorch"
굿어스데이터㈜,경력 (1년이상),초대졸이상 (졸업예정자 가능),,"Window, Linux, TCP/IP, VLAN"
굿어스데이터㈜,신입,초대졸이상 (졸업예정자 가능),,"Hadoop, Oracle, Spark, Tensorflow, Window, Linux"
㈜포체인스,경력,대졸이상 (졸업예정자 가능),,"Python, Tensorflow, CNN"
㈜아라종합기술,경력,대졸이상 (졸업예정자 가능),"성실성, 윤리의식, 창의성","OpenCV, Python, Pytorch, R, Tensorflow"
이투스에듀㈜,경력 (3년이상),대졸이상,,"AWS, CSS, Django, Flask, HTML, Javascript, Python"
㈜엘엑스세미콘,경력 (1년이상) 직무 별 상이,대졸이상,,"C, Matlab, Perl, Python, Verilog, System Verilog, 영어, 일본어, 중국어, Cadence, Microsoft Office, OPIc, TOEIC, TOEIC Speaking, UVM, 임베디드 소프트웨어"
애니모션텍㈜,경력 (7년이상),대졸이상,,"C, C#, C++, MFC, OpenCV, 머신러닝, 딥러닝, 이미지 프로세싱"
㈜에스엔디에이,신입,초대졸이상,,"C#, Directx, WPF, Halcon, Euresys"
㈜에스엔디에이,경력 (2년이상),초대졸이상,,"C#, Directx, WPF, Halcon, Euresys"
㈜ 데이터메이커,경력 (3년이상),학력무관,,"Git, Python, Pytorch, Tensorflow, Unix, Linux"
㈜브랜드콘텐츠,경력,학력무관,,
㈜비글즈,경력 (5년이상),학력무관,,Python
㈜인피닉,신입,대졸이상 (졸업예정자 가능),"성실성, 창의성, 협동심","Keras, Python, Pytorch, Tensorflow"
㈜휴런,경력 (1년이상),대졸이상,,"Docker, Python, Pytorch, CNN, DL, GitHub, GitLab"
㈜에이아이포블록체인(AI4 Blo,경력 (3년이상),대학원(석사)이상,,
㈜바이오에이아이,경력 (5년이상),대졸이상,,"Python, RDBMS, SQL, ERP, DBMS, NLP"
㈜카이미,경력 (2년이상),대졸이상,,"C++, OpenCV, Python, Tensorflow, PyQt"
㈜파이디지털헬스케어,경력 (2년이상),대졸이상 (졸업예정자 가능),,SQL
㈜카카오헬스케어,경력 (3년이상),학력무관,,
㈜스트라드비젼,경력 (3년이상),학력무관,,"C, C++"
